freq_norm,gain_mag,gain_mag_db,gain_phase_deg
0,-nan,-nan,0
5e-05,0.984568,-0.135087,1.18366
0.0001,0.98413,-0.138951,0.958612
0.00015,0.988099,-0.103995,0.54915
0.0002,0.987249,-0.111466,0.0484484
0.00025,0.984525,-0.135467,-0.439474
0.0003,0.983055,-0.148448,-0.809544
0.00035,0.981554,-0.161718,-1.07615
0.0004,0.980945,-0.167103,-1.2292
0.00045,0.979707,-0.178075,-1.271
0.0005,0.981387,-0.163193,-1.27073
0.00055,0.983519,-0.144343,-1.2955
0.0006,0.985753,-0.124634,-1.34722
0.00065,0.987146,-0.112375,-1.4286
0.0007,0.986519,-0.117895,-1.53276
0.00075,0.985182,-0.129672,-1.65365
0.0008,0.984382,-0.13673,-1.82472
0.00085,0.98332,-0.146102,-2.02255
0.0009,0.982293,-0.155179,-2.18176
0.00095,0.981342,-0.16359,-2.26693
0.001,0.981278,-0.164163,-2.3211
0.00105,0.982186,-0.156128,-2.41538
0.0011,0.983456,-0.144902,-2.56734
0.00115,0.984779,-0.133225,-2.73412
0.0012,0.985217,-0.129362,-2.85954
0.00125,0.985434,-0.127448,-2.94948
0.0013,0.985538,-0.126531,-3.04062
0.00135,0.984711,-0.133822,-3.1563
0.0014,0.983068,-0.148328,-3.27551
0.00145,0.982111,-0.156789,-3.36825
0.0015,0.982048,-0.157349,-3.45917
0.00155,0.983013,-0.148815,-3.57501
0.0016,0.98363,-0.143366,-3.71299
0.00165,0.983779,-0.142048,-3.85571
0.0017,0.983438,-0.145062,-3.99434
0.00175,0.983723,-0.142539,-4.13171
0.0018,0.984372,-0.136814,-4.28251
0.00185,0.984772,-0.133283,-4.41935
0.0019,0.984247,-0.137918,-4.50251
0.00195,0.983537,-0.144185,-4.53566
0.002,0.982928,-0.149567,-4.58923
0.00205,0.983349,-0.145846,-4.70837
0.0021,0.983813,-0.141751,-4.87557
0.00215,0.983671,-0.142998,-5.03315
0.0022,0.983647,-0.143219,-5.15076
0.00225,0.983813,-0.141749,-5.2602
0.0023,0.983772,-0.142107,-5.39748
0.00235,0.983402,-0.145375,-5.55683
0.0024,0.982965,-0.149239,-5.68832
0.00245,0.983031,-0.14866,-5.77086
0.0025,0.983877,-0.141183,-5.84031
0.00255,0.984693,-0.133982,-5.93
0.0026,0.984738,-0.133584,-6.04157
0.00265,0.98389,-0.141072,-6.15965
0.0027,0.983376,-0.145611,-6.28388
0.00275,0.983531,-0.144241,-6.42405
0.0028,0.983852,-0.141408,-6.57876
0.00285,0.98375,-0.142302,-6.72196
0.0029,0.982977,-0.149135,-6.80882
0.00295,0.982577,-0.152664,-6.88454
0.003,0.982849,-0.150264,-6.99354
0.00305,0.983812,-0.141756,-7.14278
0.0031,0.984356,-0.136954,-7.2952
0.00315,0.984449,-0.136135,-7.39727
0.0032,0.984225,-0.138109,-7.45544
0.00325,0.984314,-0.137327,-7.56181
0.0033,0.983857,-0.141361,-7.70538
0.00335,0.983257,-0.146661,-7.86244
0.0034,0.982663,-0.15191,-7.97931
0.00345,0.982927,-0.149575,-8.06531
0.0035,0.983545,-0.144114,-8.15605
0.00355,0.983952,-0.140518,-8.28247
0.0036,0.983621,-0.143445,-8.42623
0.00365,0.983213,-0.147047,-8.55987
0.0037,0.983593,-0.143688,-8.67972
0.00375,0.98418,-0.138509,-8.80406
0.0038,0.984699,-0.133927,-8.92686
0.00385,0.984098,-0.139231,-9.0249
0.0039,0.983143,-0.147667,-9.09954
0.00395,0.98283,-0.15043,-9.18872
0.004,0.984505,-0.135645,-9.31955
0.00405,0.983794,-0.141919,-9.48288
0.0041,0.983827,-0.141626,-9.61461
0.00415,0.983646,-0.143225,-9.70898
0.0042,0.983598,-0.143644,-9.80421
0.00425,0.983603,-0.143606,-9.94169
0.0043,0.983638,-0.143293,-10.1089
0.00435,0.983355,-0.145793,-10.2444
0.0044,0.983406,-0.145339,-10.3256
0.00445,0.983917,-0.140827,-10.385
0.0045,0.984186,-0.138453,-10.4787
0.00455,0.984026,-0.139869,-10.6123
0.0046,0.983311,-0.146185,-10.7524
0.00465,0.98311,-0.147956,-10.8803
0.0047,0.983587,-0.143747,-10.9976
0.00475,0.984076,-0.139432,-11.1288
0.0048,0.983723,-0.142541,-11.2574
0.00485,0.983076,-0.148258,-11.3677
0.0049,0.982586,-0.152588,-11.4595
0.00495,0.983054,-0.148456,-11.5722
0.005,0.983573,-0.143866,-11.7116
0.00505,0.98449,-0.135772,-11.8429
0.0051,0.984181,-0.138501,-11.9367
0.00515,0.983807,-0.141804,-12.0149
0.0052,0.983626,-0.143398,-12.1229
0.00525,0.98356,-0.14398,-12.2806
0.0053,0.983371,-0.14565,-12.439
0.00535,0.983067,-0.148336,-12.5586
0.0054,0.983152,-0.147584,-12.6271
0.00545,0.983578,-0.143821,-12.7107
0.0055,0.98362,-0.143452,-12.8445
0.00555,0.983441,-0.145031,-13.0014
0.0056,0.983312,-0.146173,-13.1362
0.00565,0.983655,-0.143147,-13.2419
0.0057,0.98438,-0.136746,-13.3428
0.00575,0.984458,-0.136052,-13.4525
0.0058,0.983724,-0.142531,-13.5731
0.00585,0.982741,-0.151215,-13.6786
0.0059,0.982666,-0.151882,-13.776
0.00595,0.983359,-0.145762,-13.9067
0.006,0.983656,-0.143131,-14.0479
0.00605,0.983889,-0.141081,-14.1687
0.0061,0.983394,-0.145448,-14.2646
0.00615,0.983168,-0.147446,-14.3663
0.0062,0.983493,-0.144571,-14.51
0.00625,0.983066,-0.148343,-14.6712
0.0063,0.983679,-0.142928,-14.8004
0.00635,0.983529,-0.144254,-14.8727
0.0064,0.983401,-0.145386,-14.9193
0.00645,0.983732,-0.142464,-15.0375
0.0065,0.98348,-0.144688,-15.1893
0.00655,0.983207,-0.147103,-15.343
0.0066,0.983151,-0.147593,-15.4606
0.00665,0.983666,-0.143048,-15.5556
0.0067,0.984077,-0.139417,-15.6713
0.00675,0.983716,-0.142609,-15.8055
0.0068,0.982899,-0.149819,-15.933
0.00685,0.982671,-0.151834,-16.0413
0.0069,0.983221,-0.146974,-16.146
0.00695,0.984113,-0.1391,-16.2664
0.007,0.984262,-0.137788,-16.386
0.00705,0.983786,-0.141991,-16.4853
0.0071,0.983168,-0.147446,-16.5786
0.00715,0.983206,-0.147109,-16.7002
0.0072,0.983572,-0.143873,-16.8577
0.00725,0.983583,-0.143779,-17.0078
0.0073,0.983275,-0.146504,-17.1122
0.00735,0.983106,-0.147995,-17.1826
0.0074,0.983211,-0.147069,-17.2732
0.00745,0.983403,-0.14537,-17.4169
0.0075,0.983413,-0.145278,-17.5793
0.00755,0.983385,-0.145529,-17.7066
0.0076,0.983689,-0.142842,-17.7914
0.00765,0.984146,-0.138812,-17.8766
0.0077,0.984055,-0.139615,-17.9982
0.00775,0.983315,-0.146147,-18.1374
0.0078,0.982593,-0.152522,-18.2622
0.00785,0.982683,-0.151733,-18.3656
0.0079,0.983482,-0.144675,-18.477
0.00795,0.983979,-0.14028,-18.5995
0.008,0.985392,-0.12782,-18.7219
