cycle,din4,out13,ref
64,0,-2048,-2048
65,0,-2048,-2048
66,0,-2048,-2048
67,0,-2048,-2048
68,0,-2048,-2048
69,0,-2048,-2048
70,0,-2048,-2048
71,0,-2048,-2048
72,0,-2048,-2048
73,0,-2048,-2048
74,0,-2048,-2048
75,0,-2048,-2048
76,0,-2048,-2048
77,0,-2048,-2048
78,0,-2048,-2048
79,0,-2048,-2048
80,0,-2048,-2048
81,0,-2048,-2048
82,0,-2048,-2048
83,0,-2048,-2048
84,0,-2048,-2048
85,0,-2048,-2048
86,0,-2048,-2048
87,0,-2048,-2048
88,0,-2048,-2048
89,0,-2048,-2048
90,0,-2048,-2048
91,0,-2048,-2048
92,0,-2048,-2048
93,0,-2048,-2048
94,0,-2048,-2048
95,0,-2048,-2048
96,0,-2048,-2048
97,0,-2048,-2048
98,0,-2048,-2048
99,0,-2048,-2048
100,0,-2048,-2048
101,0,-2048,-2048
102,0,-2048,-2048
103,0,-2048,-2048
104,0,-2048,-2048
105,0,-2048,-2048
106,0,-2048,-2048
107,0,-2048,-2048
108,0,-2048,-2048
109,0,-2048,-2048
110,0,-2048,-2048
111,0,-2048,-2048
112,0,-2048,-2048
113,0,-2048,-2048
114,0,-2048,-2048
115,0,-2048,-2048
116,0,-2048,-2048
117,0,-2048,-2048
118,0,-2048,-2048
119,0,-2048,-2048
120,0,-2048,-2048
121,0,-2048,-2048
122,0,-2048,-2048
123,0,-2048,-2048
124,0,-2048,-2048
125,0,-2048,-2048
126,0,-2048,-2048
127,0,-2048,-2048
0,15,-2063,-2048
1,15,-2003,-2063
2,15,-2003,-2003
3,15,-2093,-2003
4,15,-2078,-2093
5,15,-1958,-2078
6,15,-2018,-1958
7,15,-2153,-2018
8,15,-2003,-2153
9,15,-1838,-2003
10,15,-2183,-1838
11,15,-2363,-2183
12,15,-1178,-2363
13,15,922,-1178
14,15,2107,922
15,15,1927,2107
16,15,1582,1927
17,15,1747,1582
18,15,1897,1747
19,15,1762,1897
20,15,1702,1762
21,15,1822,1702
22,15,1837,1822
23,15,1747,1837
24,15,1747,1747
25,15,1807,1747
26,15,1792,1807
27,15,1792,1792
28,15,1792,1792
29,15,1792,1792
30,15,1792,1792
31,15,1792,1792
32,15,1792,1792
33,15,1792,1792
34,15,1792,1792
35,15,1792,1792
36,15,1792,1792
37,15,1792,1792
38,15,1792,1792
39,15,1792,1792
40,15,1792,1792
41,15,1792,1792
42,15,1792,1792
43,15,1792,1792
44,15,1792,1792
45,15,1792,1792
46,15,1792,1792
47,15,1792,1792
48,15,1792,1792
49,15,1792,1792
50,15,1792,1792
51,15,1792,1792
52,15,1792,1792
53,15,1792,1792
54,15,1792,1792
55,15,1792,1792
56,15,1792,1792
57,15,1792,1792
58,15,1792,1792
59,15,1792,1792
60,15,1792,1792
61,15,1792,1792
62,15,1792,1792
63,15,1792,1792
0,0,1807,1792
1,0,1747,1807
2,0,1747,1747
3,0,1837,1747
4,0,1822,1837
5,0,1702,1822
6,0,1762,1702
7,0,1897,1762
8,0,1747,1897
9,0,1582,1747
10,0,1927,1582
11,0,2107,1927
12,0,922,2107
13,0,-1178,922
14,0,-2363,-1178
15,0,-2183,-2363
16,0,-1838,-2183
17,0,-2003,-1838
18,0,-2153,-2003
19,0,-2018,-2153
20,0,-1958,-2018
21,0,-2078,-1958
22,0,-2093,-2078
23,0,-2003,-2093
24,0,-2003,-2003
25,0,-2063,-2003
26,0,-2048,-2063
27,0,-2048,-2048
28,0,-2048,-2048
29,0,-2048,-2048
30,0,-2048,-2048
31,0,-2048,-2048
32,0,-2048,-2048
33,0,-2048,-2048
34,0,-2048,-2048
35,0,-2048,-2048
36,0,-2048,-2048
37,0,-2048,-2048
38,0,-2048,-2048
39,0,-2048,-2048
40,0,-2048,-2048
41,0,-2048,-2048
42,0,-2048,-2048
43,0,-2048,-2048
44,0,-2048,-2048
45,0,-2048,-2048
46,0,-2048,-2048
47,0,-2048,-2048
48,0,-2048,-2048
49,0,-2048,-2048
50,0,-2048,-2048
51,0,-2048,-2048
52,0,-2048,-2048
53,0,-2048,-2048
54,0,-2048,-2048
55,0,-2048,-2048
56,0,-2048,-2048
57,0,-2048,-2048
58,0,-2048,-2048
59,0,-2048,-2048
60,0,-2048,-2048
61,0,-2048,-2048
62,0,-2048,-2048
63,0,-2048,-2048
